date,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,20.6,16.6,25.3,0.5,,,
2021-01-02,20.9,16.6,26.0,0.4,74.0,11.3,1014.5
2021-01-03,21.9,18.8,26.0,0.0,86.0,12.0,1013.0
2021-01-04,20.8,18.6,27.6,0.0,84.0,10.8,1013.1
2021-01-05,21.9,18.7,26.2,0.0,83.0,10.9,1013.9
2021-01-06,21.2,20.0,27.3,7.5,97.0,8.2,1013.3
2021-01-07,21.6,19.1,25.4,0.8,93.0,10.0,1011.5
2021-01-08,22.3,20.0,27.0,9.0,90.0,9.4,1011.2
2021-01-09,21.4,18.8,27.0,0.0,84.0,9.6,1012.0
2021-01-10,22.2,18.6,26.2,0.0,76.0,8.6,1012.7
2021-01-11,21.6,18.2,26.9,0.0,46.0,8.6,1013.7
2021-01-12,20.4,18.2,25.4,0.0,54.0,12.3,1013.4
2021-01-13,21.3,16.8,26.3,0.0,57.0,11.3,1013.3
2021-01-14,20.8,16.4,27.7,0.2,75.0,11.3,1013.3
2021-01-15,21.8,17.3,26.3,0.0,94.0,9.9,1012.7
2021-01-16,22.2,18.1,27.4,0.0,100.0,9.4,1012.0
2021-01-17,22.2,17.0,29.2,0.0,84.0,8.4,1013.1
2021-01-18,21.8,15.5,29.6,0.0,75.0,9.6,1014.2
2021-01-19,21.8,16.1,28.8,0.0,55.0,6.5,1014.0
2021-01-20,22.7,16.0,28.4,0.0,73.0,6.4,1014.2
2021-01-21,23.8,17.0,31.1,0.0,67.0,5.0,1013.8
2021-01-22,23.8,18.4,31.1,0.1,74.0,7.0,1013.5
2021-01-23,22.5,18.0,30.3,0.0,81.0,8.9,1014.0
2021-01-24,21.9,17.0,29.2,0.0,87.0,7.4,1014.5
2021-01-25,21.6,16.3,29.5,0.0,94.0,7.9,1015.1
2021-01-26,21.9,15.4,29.4,0.0,73.0,7.1,1014.2
2021-01-27,21.7,15.4,30.8,0.0,82.0,9.2,1014.6
2021-01-28,21.6,16.0,30.2,0.0,88.0,10.5,1015.1
2021-01-29,22.4,18.0,28.4,0.0,83.0,9.5,1015.4
2021-01-30,22.8,17.4,29.3,0.0,78.0,9.3,1014.5
2021-01-31,22.7,17.2,29.8,0.0,89.0,10.8,1014.6
2021-02-01,22.8,16.8,30.1,0.0,70.0,10.7,1016.4
2021-02-02,22.1,16.8,29.6,0.0,78.0,11.6,1016.9
2021-02-03,21.8,17.9,28.6,0.0,85.0,11.1,1016.1
2021-02-04,22.1,16.1,28.5,0.0,85.0,9.6,1015.8
2021-02-05,22.2,15.4,29.4,0.0,65.0,8.7,1015.0
2021-02-06,22.4,15.6,30.4,0.0,71.0,10.2,1014.1
2021-02-07,22.3,15.0,30.4,0.0,68.0,10.0,1014.7
2021-02-08,22.1,16.1,30.1,0.0,72.0,10.4,1015.5
2021-02-09,20.6,14.9,29.8,0.0,85.0,10.3,1015.0
2021-02-10,21.7,14.4,28.6,0.0,85.0,9.0,1013.7
2021-02-11,20.3,13.5,28.1,0.0,91.0,10.8,1013.2
2021-02-12,20.7,12.2,28.9,0.0,81.0,11.5,1013.6
2021-02-13,20.6,13.0,29.8,0.0,80.0,9.8,1014.7
2021-02-14,23.0,16.2,31.0,0.0,56.0,6.5,1014.4
2021-02-15,24.0,17.9,31.5,0.0,44.0,6.4,1013.2
2021-02-16,23.9,18.4,32.0,0.0,94.0,7.4,1013.0
2021-02-17,23.8,18.4,31.4,0.0,88.0,8.1,1012.5
2021-02-18,22.8,18.0,31.2,0.1,101.0,10.0,1013.8
